date,zipcode,time_block,traffic_volume,avg_travel_time
2012-02-16,10458,10,473.5,539.5
2012-02-16,10458,19,409.0,539.5
2012-02-16,10461,9,487.6,257.0
2012-02-16,10461,20,314.2,257.0
2012-02-16,10461,21,237.3,257.0
2012-02-16,10461,22,194.9,257.0
2012-02-16,11385,1,46.75,879.0
2012-02-16,11385,2,32.25,879.0
2012-02-16,11385,8,434.0,879.0
2012-02-16,11385,10,385.0,879.0
2012-02-16,11385,12,392.5,879.0
2012-02-16,11385,23,151.75,879.0
2012-02-17,10456,7,0.0,414.5
2012-02-17,10456,10,0.0,414.5
2012-02-17,10459,0,53.5,572.0
2012-02-17,10459,10,271.0,572.0
2012-02-17,10459,11,285.0,572.0
2012-02-17,10459,13,310.0,572.0
2012-02-17,10459,20,234.5,572.0
2012-02-17,10459,23,90.0,572.0
2012-02-17,10461,6,290.3,349.0
2012-02-17,10461,7,552.1,349.0
2012-02-17,10461,10,67.4,349.0
2012-02-17,10461,11,0.0,349.0
2012-02-17,10461,15,0.0,349.0
2012-02-17,10461,17,0.0,349.0
2012-02-17,10461,20,0.0,349.0
2012-02-17,11201,1,175.0,2426.0
2012-02-17,11201,5,155.0,2426.0
2012-02-17,11201,17,947.5,2426.0
2012-02-17,11201,18,832.5,2426.0
2012-02-17,11377,3,18.0,499.0
2012-02-17,11377,6,92.5,499.0
2012-02-17,11377,21,0.0,499.0
2012-02-17,11377,23,0.0,499.0
2012-02-17,11420,9,0.0,398.0
2012-02-17,11420,15,0.0,398.0
2012-02-17,11420,21,0.0,398.0
2012-02-17,11435,4,88.0,215.0
2012-02-17,11435,5,188.5,215.0
2012-02-17,11435,10,356.0,215.0
2012-02-17,11435,11,309.0,215.0
2012-02-17,11435,14,134.0,215.0
2012-02-17,11435,19,0.0,215.0
2012-02-17,11435,22,0.0,215.0
2012-02-18,10453,8,230.0,456.0
2012-02-18,10453,9,271.6666666666667,456.0
2012-02-18,10459,0,60.0,404.5
2012-02-18,10459,7,254.5,404.5
2012-02-18,10459,12,0.0,404.5
2012-02-18,10459,13,0.0,404.5
2012-02-18,10468,12,568.5,336.0
2012-02-18,10468,14,608.0,336.0
2012-02-18,10468,18,654.25,336.0
2012-02-18,10468,22,624.75,336.0
2012-02-19,10453,7,120.0,285.0
2012-02-19,10462,1,147.0,277.0
2012-02-19,10462,2,98.5,277.0
2012-02-19,10462,4,77.0,277.0
2012-02-19,10462,8,155.5,277.0
2012-02-21,11226,15,167.0,201.0
2012-02-21,11226,16,166.0,201.0
2012-02-21,11226,21,84.5,201.0
2012-02-22,11213,1,122.0,186.0
